Field_No,Field_Name,M_C_O,Content_to_be_Reported,Format_Pattern,Allowed_Values,XSD_Element_Path,XSD_Type_Name,Conditionality_Notes,Key_Validation_Rules,Key_Error_Codes,Source
1,Report Status,M,Indicates whether report is new or a cancellation,XML element choice,"NEWT (New) = <New> element; CANC (Cancellation) = <Cxl> element","Tx/New or Tx/Cxl (element choice)","ReportingTransactionType1__1","Always required for all reports; fields 2/4/6 only on CANC","Implemented as XML element structure - no coded field value emitted in a separate element; NEWT uses <New> child; CANC uses <Cxl> child","N/A (XML parser)","FCA CSV Rules 001/268"
2,Transaction Reference Number,M,"Unique identifier per executing firm per report. For trading venue submissions on behalf of non-MiFID firms the TV generates this internally.","ALPHANUM-52: [A-Z0-9]{1,52}",,"New/TxId or Cxl/TxId","ESMA_AlphaNumericMax52_Pattern","Mandatory for all new and cancellation reports","Max 52 chars; capital Latin letters and numbers only; must be unique per executing entity - same TRN cannot be re-used unless prior report was cancelled","CON-023 (duplicate TRN); CON-024 (cancellation TRN not found); CON-025 (already cancelled)","FCA CSV Rules 002-007"
3,Trading Venue Transaction Identification Code,C,"Number generated by UK/Union trading venues and disseminated to both buying and selling parties per Article 12 RTS 24. Required for market side of venue-executed trades only.","ALPHANUM-52: [A-Z0-9]{1,52}",,"New/Tx/TradPlcMtchgId","ESMA_AlphaNumericMax52_Pattern","Populated only for market side of UK/Union trading venue transactions; MUST NOT be populated where Field 36 is XXXX / XOFF / non-UK-EU venue MIC / SI MIC","Max 52 chars capital alphanumeric; must not be populated for off-venue or SI transactions","CON-030 (inconsistent with venue field)","FCA CSV Rules 008/010"
4,Executing Entity Identification Code,M,LEI of the entity executing the transaction.,"{LEI}: [A-Z0-9]{18}[0-9]{2}",,"New/ExctgPty or Cxl/ExctgPty","LEIIdentifier","Mandatory for all new and cancellation reports","Where Field 5 = true: LEI status must be Issued/Pending transfer/Pending archival; where Field 5 = false: Lapsed also permitted; InitialRegistrationDate <= trading date; EntityStatus Active or if Inactive LastUpdateDate >= trading date","CON-040 (LEI not valid - Field 5 true); CON-041 (LEI not valid - Field 5 false)","FCA CSV Rules 011-014/266"
5,Investment Firm Covered by Directive 2014/65/EU,M,"Indicates whether entity in Field 4 is a MiFID investment firm.",Boolean,"true (yes - is MiFID investment firm); false (no)","New/InvstmtPtyInd","TrueFalseIndicator","Mandatory for all new reports; not present on cancellation reports","Only true or false permitted","N/A (XML parser)","FCA CSV Rules 017/018"
6,Submitting Entity Identification Code,M,"LEI of entity submitting report. Direct submission = executing firm LEI; via trading venue = TV operator LEI; via ARM = ARM LEI.","{LEI}: [A-Z0-9]{18}[0-9]{2}",,"New/SubmitgPty or Cxl/SubmitgPty","LEIIdentifier","Mandatory for all new and cancellation reports","LEI status must be Issued/Lapsed/Pending transfer/Pending archival; InitialRegistrationDate <= submission date; EntityStatus Active or if Inactive LastUpdateDate >= submission date","CON-060 (submitting entity LEI not valid)","FCA CSV Rules 019/210/020/021"
7,Buyer Identification Code,M,"Identifies the acquirer of the financial instrument. Repeatable for joint accounts. LEI for legal entities; national ID for natural persons; CCP LEI if identity undisclosed on CCP venue; venue MIC if identity undisclosed on non-CCP venue; INTC for internal aggregate client account. In case of options/swaptions buyer = right holder; futures/forwards buyer = long; IR swaps buyer = fixed rate payer; FX swaps buyer = counterparty receiving alphabetically first ISO 4217 currency; CDS buyer = protection buyer.","{LEI} / {MIC} / {NATIONAL_ID} / INTC","LEI: [A-Z0-9]{18}[0-9]{2}; MIC: [A-Z0-9]{4}; NATIONAL_ID (NIDN/CCPT/CONCAT); INTC","New/Buyr/AcctOwnr/Id (choice: LEI / MIC / Prsn / Intl)","PersonOrOrganisation1Choice__1","Mandatory for all new reports; repeatable for joint accounts","LEI: GLEIF validity (status/InitialRegistrationDate/EntityStatus); MIC: valid active ISO 10383 excluding XXXX/XOFF; CONCAT: exactly 20 chars CC+YYYYMMDD+1letter+4chars(letter/#)+gender+4chars(letter/#); DOB in CONCAT must match Field 11","CON-070 (LEI invalid); CON-071 (country code invalid); CON-072 (MIC invalid); CON-073 (CONCAT DOB mismatch); CON-074 (format incorrect)","FCA CSV Rules 025-030/211/240"
8,Country of Branch for the Buyer,C,"Country of branch that received client order or made investment decision under a discretionary mandate. Use head/registered office country if not a branch.","{COUNTRYCODE_2}: [A-Z]{2}",,"New/Buyr/AcctOwnr/CtryOfBrnch","CountryCode","Applicable only where buyer is a client; not populated where buyer is a firm (other than INTC); populate under transmitted order conditions per Article 4","ISO 3166-1 alpha-2 country code valid at trading date","CON-080 (country code invalid)","FCA CSV Rules 032/033"
9,Buyer First Name(s),C,"Full first name(s) of buyer. Multiple names separated by comma.","{ALPHANUM-140}: max 140 chars",,"New/Buyr/AcctOwnr/Id/Prsn/FrstNm","Max140Text","Mandatory where national identifier used in Field 7; not populated otherwise","Allowed characters: capital Latin (A-Z) / Cyrillic (A-Ya) / Greek (Alpha-Omega) / diacriticals; non-alphanumeric: comma / space / apostrophe / minus / dash. NOTE: character set NOT enforced by XSD - must be validated at application layer.","N/A (XML parser)","FCA CSV Rules 035/036"
10,Buyer Surname(s),C,"Full surname(s) of buyer. Multiple surnames separated by comma.","{ALPHANUM-140}: max 140 chars",,"New/Buyr/AcctOwnr/Id/Prsn/Nm","Max140Text","Mandatory where national identifier used in Field 7; not populated otherwise","Same allowed character set as Field 9; character set not enforced by XSD","N/A (XML parser)","FCA CSV Rules 037/038"
11,Buyer Date of Birth,C,Date of birth of buyer.,"{DATEFORMAT}: YYYY-MM-DD",,"New/Buyr/AcctOwnr/Id/Prsn/BirthDt","ISODate","Mandatory where national identifier used in Field 7; not populated otherwise","Must be a valid ISO 8601 date; MUST match the date of birth embedded in CONCAT code if CONCAT used in Field 7","CON-073 (CONCAT DOB mismatch)","FCA CSV Rules 039/040"
12,Buyer Decision Maker Code,C,"Person or firm making the acquisition decision under a power of representation. LEI for legal entities; national ID for natural persons.","{LEI} / {NATIONAL_ID}","LEI: [A-Z0-9]{18}[0-9]{2}; NATIONAL_ID (NIDN/CCPT/CONCAT)","New/Buyr/DcsnMakr (choice: LEI or Prsn)","PersonOrOrganisation2Choice__1","Only populated where decision maker acts under power of representation; not populated where buyer makes their own decision","Same LEI validity rules as Field 7; CONCAT DOB must match Field 15","CON-120 (LEI invalid); CON-121 (country code invalid); CON-122 (CONCAT DOB mismatch); CON-123 (format incorrect)","FCA CSV Rules 042-045/212/241"
13,Buy Decision Maker First Name(s),C,"Full first name(s) of buyer decision maker. Multiple names separated by comma.","{ALPHANUM-140}: max 140 chars",,"New/Buyr/DcsnMakr/Prsn/FrstNm","Max140Text","Mandatory where national ID used in Field 12; not populated otherwise","Same character set rules as Field 9","N/A (XML parser)","FCA CSV Rules 047/048"
14,Buy Decision Maker Surname(s),C,"Full surname(s) of buyer decision maker. Multiple surnames separated by comma.","{ALPHANUM-140}: max 140 chars",,"New/Buyr/DcsnMakr/Prsn/Nm","Max140Text","Mandatory where national ID used in Field 12; not populated otherwise","Same character set rules as Field 9","N/A (XML parser)","FCA CSV Rules 049/050"
15,Buy Decision Maker Date of Birth,C,Date of birth of buyer decision maker.,"{DATEFORMAT}: YYYY-MM-DD",,"New/Buyr/DcsnMakr/Prsn/BirthDt","ISODate","Mandatory where national ID used in Field 12; not populated otherwise","Must match DOB embedded in CONCAT code if CONCAT used","CON-122","FCA CSV Rules 051/052"
16,Seller Identification Code,M,"Identifies the disposer of the financial instrument. Repeatable for joint accounts. Same identifier logic as Field 7. Buyer/seller role definitions mirror Field 7 (see conditionality column).","{LEI} / {MIC} / {NATIONAL_ID} / INTC","LEI: [A-Z0-9]{18}[0-9]{2}; MIC: [A-Z0-9]{4}; NATIONAL_ID (NIDN/CCPT/CONCAT); INTC","New/Sellr/AcctOwnr/Id (choice: LEI / MIC / Prsn / Intl)","PersonOrOrganisation1Choice__1","Mandatory for all new reports; repeatable for joint accounts","Same GLEIF LEI / ISO 10383 MIC / CONCAT validation rules as Field 7; CONCAT DOB must match Field 20","CON-160 (LEI invalid); CON-161 (country code invalid); CON-162 (MIC invalid); CON-163 (CONCAT DOB mismatch); CON-164 (format incorrect)","FCA CSV Rules 054-059/213/242"
17,Country of Branch for the Seller,C,"Country of branch that received client order or made investment decision under discretionary mandate. Use head/registered office country if not a branch.","{COUNTRYCODE_2}: [A-Z]{2}",,"New/Sellr/AcctOwnr/CtryOfBrnch","CountryCode","Applicable only where seller is a client; populate under transmitted order conditions per Article 4","ISO 3166-1 alpha-2 valid at trading date","CON-170 (country code invalid)","FCA CSV Rules 061/062"
18,Seller First Name(s),C,"Full first name(s) of seller. Multiple names separated by comma.","{ALPHANUM-140}: max 140 chars",,"New/Sellr/AcctOwnr/Id/Prsn/FrstNm","Max140Text","Mandatory where national ID used in Field 16; not populated otherwise","Same character set rules as Field 9","N/A (XML parser)","FCA CSV Rules 064/065"
19,Seller Surname(s),C,"Full surname(s) of seller. Multiple surnames separated by comma.","{ALPHANUM-140}: max 140 chars",,"New/Sellr/AcctOwnr/Id/Prsn/Nm","Max140Text","Mandatory where national ID used in Field 16; not populated otherwise","Same character set rules as Field 9","N/A (XML parser)","FCA CSV Rules 066/067"
20,Seller Date of Birth,C,Date of birth of seller.,"{DATEFORMAT}: YYYY-MM-DD",,"New/Sellr/AcctOwnr/Id/Prsn/BirthDt","ISODate","Mandatory where national ID used in Field 16; not populated otherwise","Must match DOB embedded in CONCAT code if CONCAT used","CON-163","FCA CSV Rules 068/069"
